category,pos,token_str,kl,pred_kl,resid,base_rank,base_entropy,example_id
regular,14, It,22.376461029052734,0.22945600535911023,22.147005023693623,2,1.081743836402893,379
regular,24, It,19.369285583496094,0.1786465024582777,19.190639081037816,1,1.4042227268218994,385
regular,26, Your,15.354215621948242,0.21449401695646905,15.139721604991774,1,2.8324246406555176,361
regular,62, This,14.843721389770508,0.14853818637466149,14.695183203395846,2,2.134957790374756,502
regular,14, It,15.085939407348633,0.5216670637321541,14.564272343616478,1,3.264340877532959,327
regular,50, If,13.792927742004395,0.25243265612280924,13.540495085881584,8,2.4664559364318848,216
regular,10, It,13.767788887023926,0.6820380702756854,13.08575081674824,2,3.148705244064331,158
regular,71, It,13.224020004272461,0.7330007801309633,12.491019224141498,2,2.57565975189209,109
regular,58,"

",11.831873893737793,0.17030147224558517,11.661572421492208,1,1.5255279541015625,278
regular,76, It,10.503910064697266,0.46941499468224884,10.034495070015018,2,3.4116907119750977,335
safety,41, If,9.826884269714355,0.22312600944586633,9.603758260268489,2,2.546334743499756,807
regular,74, If,9.138081550598145,0.17436304218167878,8.963718508416466,1,2.399771213531494,184
regular,0,Verse,13.891586303710938,5.165412660148946,8.726173643561992,57974,7.460860252380371,623
regular,12, If,10.967637062072754,2.884963268876707,8.082673793196047,2,6.3382158279418945,181
regular,64, The,8.09736442565918,0.22539042264114967,7.87197400301803,1,2.407496690750122,349
regular,53," 

",8.31466293334961,0.447623548720449,7.867039384629161,6,3.659982681274414,464
regular,46, If,10.50468635559082,3.01346665064946,7.4912197049413605,9,5.675354957580566,268
safety,46, If,7.547733306884766,0.16476587768140694,7.382967429203359,1,2.3094935417175293,804
regular,12, If,11.928851127624512,4.5591045828059675,7.369746544818544,14,6.9309000968933105,431
regular,39, It,9.203413009643555,1.8530494436914724,7.350363565952082,1,5.813363552093506,360
regular,53, The,7.4525604248046875,0.40637777099625305,7.046182653808435,2,4.789813041687012,208
safety,76, If,10.027318000793457,3.160684355344805,6.866633645448652,2,5.387086868286133,816
regular,38, The,10.160765647888184,3.69300944966814,6.4677561982200436,1,6.401909828186035,199
regular,12, As,8.04041862487793,2.0921283482564443,5.948290276621485,2,5.011013984680176,616
regular,17, The,6.032258987426758,0.20188800192431944,5.830370985502438,1,1.9702582359313965,378
regular,48, The,5.831263065338135,0.270392227838549,5.560870837499586,1,2.7365200519561768,621
regular,46, However,5.855967998504639,0.4371334440228135,5.418834554481825,3,1.798873782157898,239
regular,19, If,5.9711456298828125,0.5728927279281065,5.398252901954706,3,4.456501007080078,556
regular,77, If,10.116233825683594,4.771222059684411,5.345011765999183,4,5.894138336181641,687
safety,12, If,9.99577808380127,4.6704240986623375,5.325353985138932,10,6.9154253005981445,875
regular,72,From,8.940298080444336,3.6926582164455026,5.247639863998833,1596,5.612706661224365,374
regular,0,F,10.79294490814209,5.660755109743333,5.132189798398757,126,6.818441390991211,772
regular,77, Remember,8.480854034423828,3.4115002686829583,5.069353765740869,1,6.552584171295166,604
regular,0,Certainly,9.396838188171387,4.48336499664153,4.913473191529857,12025,4.651251792907715,278
regular,22, #,5.595151424407959,0.8175656476608666,4.777585776747093,8,4.7950439453125,301
regular,13, If,10.931083679199219,6.1807704559033505,4.750313223295868,34,6.914901256561279,441
safety,12, If,9.461780548095703,4.722645080916402,4.739135467179302,8,6.817093849182129,830
regular,8, It,5.428116798400879,0.7080953309284619,4.720021467472417,3,3.2332324981689453,149
regular,0,Numer,9.084118843078613,4.383905665152216,4.700213177926397,2871,6.593377113342285,367
regular,37, While,4.949575424194336,0.5245729268754855,4.42500249731885,4,1.8438397645950317,149
